frame,day,entity_type,id,x_position,y_position,fuel_level,state,refuel_point_x,refuel_point_y
30,1,vehicle,1,11.0,19.0,82.0,patrolling,,
30,1,vehicle,2,36.0,16.0,76.0,patrolling,,
30,1,vehicle,3,15.0,31.0,78.0,patrolling,,
30,1,vehicle,4,30.0,23.0,78.5,patrolling,,
30,1,refuel_vehicle,1,0,20,,idle,,
30,1,refuel_vehicle,2,20,0,,idle,,
30,1,refuel_vehicle,3,40,40,,idle,,
30,1,hub,1,0,20,,,,
30,1,hub,2,20,0,,,,
30,1,hub,3,40,40,,,,
31,1,vehicle,1,11.0,18.0,81.5,patrolling,,
31,1,vehicle,2,34.0,16.0,75.0,patrolling,,
31,1,vehicle,3,15.0,33.0,77.0,patrolling,,
31,1,vehicle,4,30.0,22.0,78.0,patrolling,,
31,1,refuel_vehicle,1,0,20,,idle,,
31,1,refuel_vehicle,2,20,0,,idle,,
31,1,refuel_vehicle,3,40,40,,idle,,
31,1,hub,1,0,20,,,,
31,1,hub,2,20,0,,,,
31,1,hub,3,40,40,,,,
32,1,vehicle,1,11.0,17.0,81.0,patrolling,,
32,1,vehicle,2,33.0,16.0,74.5,patrolling,,
32,1,vehicle,3,15.0,32.0,76.5,patrolling,,
32,1,vehicle,4,30.0,21.0,77.5,patrolling,,
32,1,refuel_vehicle,1,0,20,,idle,,
32,1,refuel_vehicle,2,20,0,,idle,,
32,1,refuel_vehicle,3,40,40,,idle,,
32,1,hub,1,0,20,,,,
32,1,hub,2,20,0,,,,
32,1,hub,3,40,40,,,,
33,1,vehicle,1,9.0,17.0,80.0,patrolling,,
33,1,vehicle,2,33.0,17.0,74.0,patrolling,,
33,1,vehicle,3,14.0,32.0,76.0,patrolling,,
33,1,vehicle,4,28.0,21.0,76.5,patrolling,,
33,1,refuel_vehicle,1,0,20,,idle,,
33,1,refuel_vehicle,2,20,0,,idle,,
33,1,refuel_vehicle,3,40,40,,idle,,
33,1,hub,1,0,20,,,,
33,1,hub,2,20,0,,,,
33,1,hub,3,40,40,,,,
34,1,vehicle,1,9.0,15.0,79.0,patrolling,,
34,1,vehicle,2,33.0,16.0,73.5,patrolling,,
34,1,vehicle,3,16.0,32.0,75.0,patrolling,,
34,1,vehicle,4,28.0,21.0,76.5,patrolling,,
34,1,refuel_vehicle,1,0,20,,idle,,
34,1,refuel_vehicle,2,20,0,,idle,,
34,1,refuel_vehicle,3,40,40,,idle,,
34,1,hub,1,0,20,,,,
34,1,hub,2,20,0,,,,
34,1,hub,3,40,40,,,,
35,1,vehicle,1,11.0,15.0,78.0,patrolling,,
35,1,vehicle,2,31.0,16.0,72.5,patrolling,,
35,1,vehicle,3,15.0,32.0,74.5,patrolling,,
35,1,vehicle,4,29.0,21.0,76.0,patrolling,,
35,1,refuel_vehicle,1,0,20,,idle,,
35,1,refuel_vehicle,2,20,0,,idle,,
35,1,refuel_vehicle,3,40,40,,idle,,
35,1,hub,1,0,20,,,,
35,1,hub,2,20,0,,,,
35,1,hub,3,40,40,,,,
36,1,vehicle,1,9.0,15.0,77.0,patrolling,,
36,1,vehicle,2,31.0,15.0,72.0,patrolling,,
36,1,vehicle,3,15.0,34.0,73.5,patrolling,,
36,1,vehicle,4,30.0,21.0,75.5,patrolling,,
36,1,refuel_vehicle,1,0,20,,idle,,
36,1,refuel_vehicle,2,20,0,,idle,,
36,1,refuel_vehicle,3,40,40,,idle,,
36,1,hub,1,0,20,,,,
36,1,hub,2,20,0,,,,
36,1,hub,3,40,40,,,,
37,1,vehicle,1,9.0,16.0,76.5,patrolling,,
37,1,vehicle,2,31.0,13.0,71.0,patrolling,,
37,1,vehicle,3,14.0,34.0,73.0,patrolling,,
37,1,vehicle,4,29.0,21.0,75.0,patrolling,,
37,1,refuel_vehicle,1,0,20,,idle,,
37,1,refuel_vehicle,2,20,0,,idle,,
37,1,refuel_vehicle,3,40,40,,idle,,
37,1,hub,1,0,20,,,,
37,1,hub,2,20,0,,,,
37,1,hub,3,40,40,,,,
38,1,vehicle,1,9.0,15.0,76.0,patrolling,,
38,1,vehicle,2,32.0,13.0,70.5,patrolling,,
38,1,vehicle,3,14.0,32.0,72.0,patrolling,,
38,1,vehicle,4,29.0,21.0,75.0,patrolling,,
38,1,refuel_vehicle,1,0,20,,idle,,
38,1,refuel_vehicle,2,20,0,,idle,,
38,1,refuel_vehicle,3,40,40,,idle,,
38,1,hub,1,0,20,,,,
38,1,hub,2,20,0,,,,
38,1,hub,3,40,40,,,,
39,1,vehicle,1,9.0,14.0,75.5,patrolling,,
39,1,vehicle,2,33.0,13.0,70.0,patrolling,,
39,1,vehicle,3,14.0,34.0,71.0,patrolling,,
39,1,vehicle,4,27.0,21.0,74.0,patrolling,,
39,1,refuel_vehicle,1,0,20,,idle,,
39,1,refuel_vehicle,2,20,0,,idle,,
39,1,refuel_vehicle,3,40,40,,idle,,
39,1,hub,1,0,20,,,,
39,1,hub,2,20,0,,,,
39,1,hub,3,40,40,,,,
40,1,vehicle,1,7.0,14.0,74.5,patrolling,,
40,1,vehicle,2,31.0,13.0,69.0,patrolling,,
40,1,vehicle,3,14.0,32.0,70.0,patrolling,,
40,1,vehicle,4,26.0,21.0,73.5,patrolling,,
40,1,refuel_vehicle,1,0,20,,idle,,
40,1,refuel_vehicle,2,20,0,,idle,,
40,1,refuel_vehicle,3,40,40,,idle,,
40,1,hub,1,0,20,,,,
40,1,hub,2,20,0,,,,
40,1,hub,3,40,40,,,,
41,1,vehicle,1,5.0,14.0,73.5,patrolling,,
41,1,vehicle,2,32.0,13.0,68.5,patrolling,,
41,1,vehicle,3,14.0,30.0,69.0,patrolling,,
41,1,vehicle,4,26.0,23.0,72.5,patrolling,,
41,1,refuel_vehicle,1,0,20,,idle,,
41,1,refuel_vehicle,2,20,0,,idle,,
41,1,refuel_vehicle,3,40,40,,idle,,
41,1,hub,1,0,20,,,,
41,1,hub,2,20,0,,,,
41,1,hub,3,40,40,,,,
42,1,vehicle,1,5.0,13.0,73.0,patrolling,,
42,1,vehicle,2,32.0,14.0,68.0,patrolling,,
42,1,vehicle,3,14.0,32.0,68.0,patrolling,,
42,1,vehicle,4,28.0,23.0,71.5,patrolling,,
42,1,refuel_vehicle,1,0,20,,idle,,
42,1,refuel_vehicle,2,20,0,,idle,,
42,1,refuel_vehicle,3,40,40,,idle,,
42,1,hub,1,0,20,,,,
42,1,hub,2,20,0,,,,
42,1,hub,3,40,40,,,,
43,1,vehicle,1,7.0,13.0,72.0,patrolling,,
43,1,vehicle,2,32.0,12.0,67.0,patrolling,,
43,1,vehicle,3,14.0,33.0,67.5,patrolling,,
43,1,vehicle,4,28.0,24.0,71.0,patrolling,,
43,1,refuel_vehicle,1,0,20,,idle,,
43,1,refuel_vehicle,2,20,0,,idle,,
43,1,refuel_vehicle,3,40,40,,idle,,
43,1,hub,1,0,20,,,,
43,1,hub,2,20,0,,,,
43,1,hub,3,40,40,,,,
44,1,vehicle,1,7.0,15.0,71.0,patrolling,,
44,1,vehicle,2,31.0,12.0,66.5,patrolling,,
44,1,vehicle,3,14.0,32.0,67.0,patrolling,,
44,1,vehicle,4,28.0,23.0,70.5,patrolling,,
44,1,refuel_vehicle,1,0,20,,idle,,
44,1,refuel_vehicle,2,20,0,,idle,,
44,1,refuel_vehicle,3,40,40,,idle,,
44,1,hub,1,0,20,,,,
44,1,hub,2,20,0,,,,
44,1,hub,3,40,40,,,,
45,1,vehicle,1,7.0,16.0,70.5,patrolling,,
45,1,vehicle,2,31.0,14.0,65.5,patrolling,,
45,1,vehicle,3,14.0,31.0,66.5,patrolling,,
45,1,vehicle,4,27.0,23.0,70.0,patrolling,,
45,1,refuel_vehicle,1,0,20,,idle,,
45,1,refuel_vehicle,2,20,0,,idle,,
45,1,refuel_vehicle,3,40,40,,idle,,
45,1,hub,1,0,20,,,,
45,1,hub,2,20,0,,,,
45,1,hub,3,40,40,,,,
46,1,vehicle,1,5.0,16.0,69.5,patrolling,,
46,1,vehicle,2,30.0,14.0,65.0,patrolling,,
46,1,vehicle,3,15.0,31.0,66.0,patrolling,,
46,1,vehicle,4,27.0,22.0,69.5,patrolling,,
46,1,refuel_vehicle,1,0,20,,idle,,
46,1,refuel_vehicle,2,20,0,,idle,,
46,1,refuel_vehicle,3,40,40,,idle,,
46,1,hub,1,0,20,,,,
46,1,hub,2,20,0,,,,
46,1,hub,3,40,40,,,,
47,1,vehicle,1,5.0,14.0,68.5,patrolling,,
47,1,vehicle,2,30.0,13.0,64.5,patrolling,,
47,1,vehicle,3,15.0,33.0,65.0,patrolling,,
47,1,vehicle,4,27.0,24.0,68.5,patrolling,,
47,1,refuel_vehicle,1,0,20,,idle,,
47,1,refuel_vehicle,2,20,0,,idle,,
47,1,refuel_vehicle,3,40,40,,idle,,
47,1,hub,1,0,20,,,,
47,1,hub,2,20,0,,,,
47,1,hub,3,40,40,,,,
48,1,vehicle,1,5.0,13.0,68.0,patrolling,,
48,1,vehicle,2,30.0,14.0,64.0,patrolling,,
48,1,vehicle,3,17.0,33.0,64.0,patrolling,,
48,1,vehicle,4,27.0,22.0,67.5,patrolling,,
48,1,refuel_vehicle,1,0,20,,idle,,
48,1,refuel_vehicle,2,20,0,,idle,,
48,1,refuel_vehicle,3,40,40,,idle,,
48,1,hub,1,0,20,,,,
48,1,hub,2,20,0,,,,
48,1,hub,3,40,40,,,,
49,1,vehicle,1,5.0,11.0,67.0,patrolling,,
49,1,vehicle,2,29.0,14.0,63.5,patrolling,,
49,1,vehicle,3,15.0,33.0,63.0,patrolling,,
49,1,vehicle,4,28.0,22.0,67.0,patrolling,,
49,1,refuel_vehicle,1,0,20,,idle,,
49,1,refuel_vehicle,2,20,0,,idle,,
49,1,refuel_vehicle,3,40,40,,idle,,
49,1,hub,1,0,20,,,,
49,1,hub,2,20,0,,,,
49,1,hub,3,40,40,,,,
50,1,vehicle,1,7.0,11.0,66.0,patrolling,,
50,1,vehicle,2,29.0,12.0,62.5,patrolling,,
50,1,vehicle,3,17.0,33.0,62.0,patrolling,,
50,1,vehicle,4,28.0,23.0,66.5,patrolling,,
50,1,refuel_vehicle,1,0,20,,idle,,
50,1,refuel_vehicle,2,20,0,,idle,,
50,1,refuel_vehicle,3,40,40,,idle,,
50,1,hub,1,0,20,,,,
50,1,hub,2,20,0,,,,
50,1,hub,3,40,40,,,,
51,1,vehicle,1,7.0,12.0,65.5,patrolling,,
51,1,vehicle,2,29.0,11.0,62.0,patrolling,,
51,1,vehicle,3,19.0,33.0,61.0,patrolling,,
51,1,vehicle,4,27.0,23.0,66.0,patrolling,,
51,1,refuel_vehicle,1,0,20,,idle,,
51,1,refuel_vehicle,2,20,0,,idle,,
51,1,refuel_vehicle,3,40,40,,idle,,
51,1,hub,1,0,20,,,,
51,1,hub,2,20,0,,,,
51,1,hub,3,40,40,,,,
52,1,vehicle,1,5.0,12.0,64.5,patrolling,,
52,1,vehicle,2,29.0,13.0,61.0,patrolling,,
52,1,vehicle,3,19.0,35.0,60.0,patrolling,,
52,1,vehicle,4,27.0,21.0,65.0,patrolling,,
52,1,refuel_vehicle,1,0,20,,idle,,
52,1,refuel_vehicle,2,20,0,,idle,,
52,1,refuel_vehicle,3,40,40,,idle,,
52,1,hub,1,0,20,,,,
52,1,hub,2,20,0,,,,
52,1,hub,3,40,40,,,,
53,1,vehicle,1,5.0,14.0,63.5,patrolling,,
53,1,vehicle,2,27.0,13.0,60.0,patrolling,,
53,1,vehicle,3,18.0,35.0,59.5,patrolling,,
53,1,vehicle,4,25.0,21.0,64.0,patrolling,,
53,1,refuel_vehicle,1,0,20,,idle,,
53,1,refuel_vehicle,2,20,0,,idle,,
53,1,refuel_vehicle,3,40,40,,idle,,
53,1,hub,1,0,20,,,,
53,1,hub,2,20,0,,,,
53,1,hub,3,40,40,,,,
54,1,vehicle,1,4.0,14.0,63.0,patrolling,,
54,1,vehicle,2,27.0,11.0,59.0,patrolling,,
54,1,vehicle,3,18.0,36.0,59.0,patrolling,,
54,1,vehicle,4,25.0,21.0,64.0,patrolling,,
54,1,refuel_vehicle,1,0,20,,idle,,
54,1,refuel_vehicle,2,20,0,,idle,,
54,1,refuel_vehicle,3,40,40,,idle,,
54,1,hub,1,0,20,,,,
54,1,hub,2,20,0,,,,
54,1,hub,3,40,40,,,,
55,1,vehicle,1,5.0,14.0,62.5,patrolling,,
55,1,vehicle,2,27.0,13.0,58.0,patrolling,,
55,1,vehicle,3,18.0,38.0,58.0,patrolling,,
55,1,vehicle,4,25.0,23.0,63.0,patrolling,,
55,1,refuel_vehicle,1,0,20,,idle,,
55,1,refuel_vehicle,2,20,0,,idle,,
55,1,refuel_vehicle,3,40,40,,idle,,
55,1,hub,1,0,20,,,,
55,1,hub,2,20,0,,,,
55,1,hub,3,40,40,,,,
